day_of_year,solar_flux_w_m2,eclipse_duration_min,eclipse_fraction,beta_angle_deg,incidence_angle_deg,t_sunlit_c,t_eclipse_min_c,t_orbital_avg_c
173,1317.6478248432734,0.0,0.0,23.44836004292102,66.55163995707898,35.56690660283908,35.56690660283908,35.56690660283908
174,1317.493498404967,0.0,0.0,23.440120176098155,66.55987982390185,35.55789035664026,35.55789035664026,35.55789035664026
175,1317.3517609100047,0.0,0.0,23.42494400059991,66.57505599940009,35.54960890092764,35.54960890092764,35.54960890092764
176,1317.2226482040244,0.0,0.0,23.40283600730078,66.59716399269922,35.54206450779577,35.54206450779577,35.54206450779577
177,1317.1061929232092,0.0,0.0,23.373802738311664,66.62619726168833,35.535259246623866,35.535259246623866,35.535259246623866
178,1317.0024244906963,0.0,0.0,23.337852785043953,66.66214721495605,35.52919498364673,35.52919498364673,35.52919498364673
179,1316.9113691133493,0.0,0.0,23.294996785667205,66.7050032143328,35.523873381568364,35.523873381568364,35.523873381568364
180,1316.833049778901,0.0,0.0,23.245247421961114,66.75475257803888,35.51929589921832,35.51929589921832,35.51929589921832
181,1316.7674862534527,0.0,0.0,23.188619415562798,66.8113805844372,35.51546379124977,35.51546379124977,35.51546379124977
182,1316.7146950793333,0.0,0.0,23.125129523610404,66.87487047638959,35.51237810788092,35.51237810788092,35.51237810788092
183,1316.6746895733108,0.0,0.0,23.054796533784415,66.94520346621559,35.51003969467814,35.51003969467814,35.51003969467814
184,1316.647479825158,0.0,0.0,22.97764125874807,67.02235874125194,35.50844919238153,35.50844919238153,35.50844919238153
185,1316.6330726965653,0.0,0.0,22.893686529988557,67.10631347001144,35.50760703677304,35.50760703677304,35.50760703677304
186,1316.6314718204035,0.0,0.0,22.802957191060827,67.19704280893917,35.507513458586345,35.507513458586345,35.507513458586345
187,1316.6426776003334,0.0,0.0,22.705480090235955,67.29451990976405,35.508168483459656,35.508168483459656,35.508168483459656
188,1316.6666872107637,0.0,0.0,22.601284072556336,67.39871592744365,35.50957193193028,35.50957193193028,35.50957193193028
189,1316.7034945971536,0.0,0.0,22.49039997129995,67.50960002870005,35.51172341947165,35.51172341947165,35.51172341947165
190,1316.7530904766634,0.0,0.0,22.372860598856313,67.62713940114368,35.51462235657249,35.51462235657249,35.51462235657249
191,1316.815462339152,0.0,0.0,22.248700737016765,67.75129926298322,35.51826794885818,35.51826794885818,35.51826794885818
192,1316.8905944485273,0.0,0.0,22.11795712668195,67.88204287331804,35.52265919725494,35.52265919725494,35.52265919725494
193,1316.9784678444446,0.0,0.0,21.980668456989644,68.01933154301034,35.52779489819568,35.52779489819568,35.52779489819568
